id,title,creator,artist,fav_count,play_count,bpm,status,tags,beatmapset
1907222,"""Tsuna Kakusei""","""4399guangguang""","""Sahashi Toshihiko""",4,209,102,"""ranked""","['katekyo', 'katei', 'kyoushi', 'kateikyoushi', 'hitman', 'awakens', 'anime', 'home', 'tutor', 'ost', 'original', 'soundtrack', 'instrumental', 'orchestral', 'violin', 'trumpet']","[{'difficulty_rating': '1.58', 'id': '3932904', 'map_len': '92', 'accuracy': '3', 'approach_rate': '8', 'beatmap_bpm': '102', 'passcount': '17', 'playcount': '33', 'max_combo': '166'}, {'difficulty_rating': '1.01', 'id': '3932905', 'map_len': '92', 'accuracy': '2', 'approach_rate': '8', 'beatmap_bpm': '102', 'passcount': '26', 'playcount': '41', 'max_combo': '98'}, {'difficulty_rating': '2.54', 'id': '3932906', 'map_len': '92', 'accuracy': '4', 'approach_rate': '8', 'beatmap_bpm': '102', 'passcount': '13', 'playcount': '51', 'max_combo': '264'}, {'difficulty_rating': '3.22', 'id': '3932907', 'map_len': '92', 'accuracy': '5', 'approach_rate': '8', 'beatmap_bpm': '102', 'passcount': '12', 'playcount': '84', 'max_combo': '366'}]"
1906563,"""Karakara (TV Size)""","""Rinze""","""kessoku band""",13,419,190,"""ranked""","['ler1211', 'bocchi', 'the', 'rock!', 'jrock', 'j-rock', 'japanese', 'rock', 'anime', 'ending', 'ed', '\\\\u5f8c\\\\u85e4\\\\u3072\\\\u3068\\\\u308a', 'gotou', 'hitori', 'bocchi-chan', 'bocchichan', '\\\\u9752\\\\u5c71\\\\u5409\\\\u80fd', 'aoyama', 'yoshino', '\\\\u4f0a\\\\u5730\\\\u77e5\\\\u8679\\\\u590f', 'ijichi', 'nijika', '\\\\u9234\\\\u4ee3\\\\u7d17\\\\u5f13', 'suzushiro', 'sayumi', '\\\\u5c71\\\\u7530\\\\u30ea\\\\u30e7\\\\u30a6', 'yamada', 'ryou', '\\\\u6c34\\\\u91ce\\\\u6714', 'mizuno', 'saku', '\\\\u559c\\\\u591a\\\\u90c1\\\\u4ee3', 'kita', 'ikuyo', '\\\\u9577\\\\u8c37\\\\u5ddd\\\\u80b2\\\\u7f8e', 'hasegawa', 'ikumi']","[{'difficulty_rating': '2.4', 'id': '3931549', 'map_len': '87', 'accuracy': '4', 'approach_rate': '5', 'beatmap_bpm': '190', 'passcount': '18', 'playcount': '62', 'max_combo': '279'}, {'difficulty_rating': '5.13', 'id': '3931550', 'map_len': '87', 'accuracy': '6', 'approach_rate': '5', 'beatmap_bpm': '190', 'passcount': '17', 'playcount': '84', 'max_combo': '563'}, {'difficulty_rating': '1.53', 'id': '3931551', 'map_len': '87', 'accuracy': '3', 'approach_rate': '5', 'beatmap_bpm': '190', 'passcount': '37', 'playcount': '76', 'max_combo': '161'}, {'difficulty_rating': '3.6', 'id': '3931552', 'map_len': '87', 'accuracy': '5', 'approach_rate': '5', 'beatmap_bpm': '190', 'passcount': '32', 'playcount': '139', 'max_combo': '388'}, {'difficulty_rating': '4.45', 'id': '3931553', 'map_len': '87', 'accuracy': '5.5', 'approach_rate': '5', 'beatmap_bpm': '190', 'passcount': '16', 'playcount': '58', 'max_combo': '484'}]"
1914644,"""Shukufuku""","""eringiRa""","""Natsume Itsuki x Aitsuki Nakuru""",8,1549,170,"""ranked""","['the', 'blessing', 'yoasobi', 'ayase', 'ikura', 'mobile', 'suit', 'gundam', 'the', 'witch', 'from', 'mercury', 'kidou', 'senshi', 'gundam', 'suisei', 'no', 'majo', 'g_witch', 'anime', 'opening', 'op', 'japanese', 'cover', 'electronic', 'pop', 'jpop', 'j-pop', '\\\\u3044\\\\u3064\\\\u304d\\\\u3093\\\\u304f\\\\u308b', 'itsukinkuru', '\\\\u306a\\\\u304f\\\\u3061\\\\u3083', 'sightread', 'yoshino']","[{'difficulty_rating': '4.93', 'id': '3949978', 'map_len': '191', 'accuracy': '8', 'approach_rate': '9', 'beatmap_bpm': '170', 'passcount': '134', 'playcount': '759', 'max_combo': '1020'}, {'difficulty_rating': '3.61', 'id': '3950278', 'map_len': '191', 'accuracy': '6', 'approach_rate': '7.5', 'beatmap_bpm': '170', 'passcount': '101', 'playcount': '386', 'max_combo': '819'}, {'difficulty_rating': '2.18', 'id': '3950629', 'map_len': '191', 'accuracy': '3.5', 'approach_rate': '5', 'beatmap_bpm': '170', 'passcount': '125', 'playcount': '404', 'max_combo': '629'}]"
1854074,"""Why do you hate me?""","""Ryax""","""Camellia""",22,326,140,"""ranked""","['featured', 'artist', 'fa', 'planet\\\\/\\\\/shaper', 'planet', 'shaper', 'electronic', 'instrumental', 'metal', 'breaks', 'cametek', '\\\\u5927\\\\u7bad\\\\u5c06\\\\u4e5f', '\\\\u304b\\\\u3081\\\\u308b\\\\u304b\\\\u3081\\\\u308a\\\\u3042', 'kamelcamellia', 'masaya', 'oya', 'c88', 'ctcd-011', 'tech', 'technical', 'sv', 'hybrid', 'ln', 'chordjack', 'long', 'notes']","[{'difficulty_rating': '5.63', 'id': '3809999', 'map_len': '289', 'accuracy': '7.4', 'approach_rate': '5', 'beatmap_bpm': '140', 'passcount': '93', 'playcount': '326', 'max_combo': '5436'}]"
1871215,"""Kanjou no Matenrou ~ World\'s End""","""Sayuka""","""Demetori""",68,2413,178,"""ranked""","['\\\\u6771\\\\u65b9project', 'touhou', 'emotional', 'skyscraper', 'cosmic', 'mind', '\\\\u66fc\\\\u884d\\\\u73e0\\\\u6c5d\\\\u83ef', 'manenjushaka', 'nada', 'upasana', 'pundarika', 'byakuren', 'hijiri', 'instrumental', 'metal', 'japanese', 'video', 'game', 'zun', 'team', 'shanghai', 'alice', 'doujin', 'julie', 'werhakon', 'gloryhammer', 'joestarrr69']","[{'difficulty_rating': '6.41', 'id': '3849893', 'map_len': '427', 'accuracy': '9.3', 'approach_rate': '9.3', 'beatmap_bpm': '178', 'passcount': '116', 'playcount': '2413', 'max_combo': '3424'}]"
1915988,"""Violet Soul""","""Ascended""","""Soleily""",18,2975,158,"""ranked""","['soliely', 'sdvx3', 'soundvoltex3', 'instrumental', 'electronic', 'trance', 'the', 'first', 'voltex', 'character', 'theme', 'song', 'contest', 'stwi', 'frostwich', 'synderes', 'zhuxiaoyan', 'flask']","[{'difficulty_rating': '5.3', 'id': '3952829', 'map_len': '112', 'accuracy': '8', 'approach_rate': '8.5', 'beatmap_bpm': '158', 'passcount': '87', 'playcount': '790', 'max_combo': '816'}, {'difficulty_rating': '2.34', 'id': '3954706', 'map_len': '112', 'accuracy': '4', 'approach_rate': '5', 'beatmap_bpm': '158', 'passcount': '198', 'playcount': '616', 'max_combo': '379'}, {'difficulty_rating': '3.46', 'id': '3954860', 'map_len': '112', 'accuracy': '6', 'approach_rate': '7.5', 'beatmap_bpm': '158', 'passcount': '128', 'playcount': '720', 'max_combo': '622'}, {'difficulty_rating': '4.84', 'id': '3955064', 'map_len': '112', 'accuracy': '8', 'approach_rate': '8.3', 'beatmap_bpm': '158', 'passcount': '45', 'playcount': '421', 'max_combo': '845'}, {'difficulty_rating': '4.61', 'id': '3955579', 'map_len': '112', 'accuracy': '8', 'approach_rate': '8', 'beatmap_bpm': '158', 'passcount': '36', 'playcount': '428', 'max_combo': '730'}]"
1877252,"""Myra""","""Ryxliee""","""Amatsuka Uto""",9,203,144,"""ranked""","['tani', 'yuuki', 'cover', 'vtuber', 'virtual', 'youtuber', 'japanese', 'pop', 'jpop', 'j-pop', 'tenshi', 'angel', 'slyme', 'tachibana_']","[{'difficulty_rating': '3.1', 'id': '3863922', 'map_len': '250', 'accuracy': '4.5', 'approach_rate': '9', 'beatmap_bpm': '144', 'passcount': '23', 'playcount': '68', 'max_combo': '841'}, {'difficulty_rating': '1.34', 'id': '3863946', 'map_len': '250', 'accuracy': '2.5', 'approach_rate': '9', 'beatmap_bpm': '144', 'passcount': '26', 'playcount': '72', 'max_combo': '336'}, {'difficulty_rating': '2.14', 'id': '3864336', 'map_len': '250', 'accuracy': '3.5', 'approach_rate': '9', 'beatmap_bpm': '144', 'passcount': '15', 'playcount': '63', 'max_combo': '653'}]"
1904026,"""Tayutae","""burabe""","""ARCANA PROJECT""",12,3727,180,"""ranked""","['garden', 'amateurre', 'shizuku-', 'kazato', 'asa', 'shikibe', 'mayu', 'ayesha', 'altugle', 'swim', 'swim', 'shiroi', 'suna', 'no', 'aquatope', 'the', 'aquatope', 'of', 'white', 'sand', 'anime', 'opening', 'opening', 'op1', 'p.a.works', 'japanese', 'pop', 'jpop', 'j-pop']","[{'difficulty_rating': '5.68', 'id': '3925672', 'map_len': '88', 'accuracy': '8', 'approach_rate': '9.3', 'beatmap_bpm': '180', 'passcount': '238', 'playcount': '1450', 'max_combo': '502'}, {'difficulty_rating': '3.11', 'id': '3929229', 'map_len': '88', 'accuracy': '6', 'approach_rate': '8', 'beatmap_bpm': '180', 'passcount': '253', 'playcount': '670', 'max_combo': '391'}, {'difficulty_rating': '2.27', 'id': '3929230', 'map_len': '87', 'accuracy': '4', 'approach_rate': '5.5', 'beatmap_bpm': '180', 'passcount': '237', 'playcount': '718', 'max_combo': '293'}, {'difficulty_rating': '4.62', 'id': '3930058', 'map_len': '88', 'accuracy': '7.5', 'approach_rate': '9', 'beatmap_bpm': '180', 'passcount': '251', 'playcount': '889', 'max_combo': '483'}]"
1624188,"""smile link""","""MochiA""","""Shimotsuki Haruka""",8,647,170,"""ranked""","['japanese', 'pop', '\\\\u307a\\\\u3055\\\\u307e', 'pesama', 'shimotsuki', 'haruka', 'no', 'frost', 'moon', 'cafe+', 'opening', 'craftscape', 'op', 'jpop', 'j-pop']","[{'difficulty_rating': '5.31', 'id': '3316125', 'map_len': '259', 'accuracy': '8', 'approach_rate': '9', 'beatmap_bpm': '170', 'passcount': '110', 'playcount': '647', 'max_combo': '1329'}]"
1857778,"""Anna mun bailaa""","""Antti""","""Aikakone""",8,490,136,"""ranked""","['suomi', 'finnish', 'pop', 'maa', 'pophitit', '1995', '-', '2003', 'greatest', 'hits', '2.0', 'sani', 'saija', 'aartela', 'vera', 'heidi', 'puurula', 'alex', 'ojasti', 'maki', 'marko', 'kolehmainen']","[{'difficulty_rating': '7.07', 'id': '3818420', 'map_len': '252', 'accuracy': '8', 'approach_rate': '10', 'beatmap_bpm': '136', 'passcount': '23', 'playcount': '193', 'max_combo': '2684'}, {'difficulty_rating': '6.07', 'id': '3818825', 'map_len': '252', 'accuracy': '7.2', 'approach_rate': '10', 'beatmap_bpm': '136', 'passcount': '10', 'playcount': '46', 'max_combo': '2230'}, {'difficulty_rating': '4.91', 'id': '3819861', 'map_len': '252', 'accuracy': '6.4', 'approach_rate': '10', 'beatmap_bpm': '136', 'passcount': '8', 'playcount': '66', 'max_combo': '1848'}, {'difficulty_rating': '4.04', 'id': '3821659', 'map_len': '252', 'accuracy': '5.6', 'approach_rate': '10', 'beatmap_bpm': '136', 'passcount': '10', 'playcount': '46', 'max_combo': '1417'}, {'difficulty_rating': '3.2', 'id': '3821706', 'map_len': '252', 'accuracy': '4.8', 'approach_rate': '10', 'beatmap_bpm': '136', 'passcount': '11', 'playcount': '42', 'max_combo': '1022'}, {'difficulty_rating': '2.5', 'id': '3821717', 'map_len': '252', 'accuracy': '4', 'approach_rate': '10', 'beatmap_bpm': '136', 'passcount': '14', 'playcount': '48', 'max_combo': '720'}, {'difficulty_rating': '1.47', 'id': '3821727', 'map_len': '252', 'accuracy': '3.2', 'approach_rate': '10', 'beatmap_bpm': '136', 'passcount': '14', 'playcount': '49', 'max_combo': '405'}]"
